transaction_id,account_id,transaction_type,amount,currency,timestamp,channel,status,description,merchant_name,merchant_category,reference_number,balance_after,ip_address,device_id,geolocation,is_international,fx_rate,anomaly_flag,created_at
5f749c02-2c6a-45ef-951f-6818bc87dfe7,PMLA-A002037-SYN,TRANSFER_IN,3971.2,CAD,2024-06-01 03:42:14,PHONE,COMPLETED,TRANSFER_IN - PHONE,,,REF456841308,34267.99,,,,True,1.0,0,2026-01-10 21:04:43
133ef93a-fb91-47d9-994f-bd2a9645cfca,PMLA-A001500-SYN,TRANSFER_IN,143.41,CAD,2024-06-01 05:51:40,ATM,COMPLETED,TRANSFER_IN - ATM,,,REF573747970,11611.34,,,,False,1.0,0,2026-01-10 21:04:43
f35a8cc2-8a72-400a-b6ec-e7807c368dc2,PMLA-A000749-SYN,TRANSFER_IN,534.71,CAD,2024-06-01 06:03:18,ONLINE,COMPLETED,TRANSFER_IN - ONLINE,,,REF249435550,87027.51,203.61.199.249,a9a69e4267ad8009,"44.0885,-117.0441",False,1.3955,0,2026-01-10 21:04:43
3d5e9397-0538-4d7a-9f9d-c8a0be956d44,PMLA-A001315-SYN,POS_PURCHASE,38.34,USD,2024-06-01 06:10:51,MOBILE,COMPLETED,POS_PURCHASE - MOBILE,Merchant_9366,HEALTHCARE,REF933500771,85924.85,255.251.103.232,137d0887fc661796,"45.0191,-81.0815",False,1.0,0,2026-01-10 21:04:43
7fa43a4a-acee-40e1-a9b3-89da48a86f4f,PMLA-A002082-SYN,BILL_PAYMENT,57.55,CAD,2024-06-01 08:44:06,BRANCH,COMPLETED,BILL_PAYMENT - BRANCH	,,,REF801625793,84691.31,,,,False,1.0,0,2026-01-10 21:04:43
dd35cd5e-6b69-4115-ac7c-3b9cf3a29ab4,PMLA-A001600-SYN,POS_PURCHASE,88.89,CAD,2024-06-01 09:11:14,MOBILE,COMPLETED,POS_PURCHASE - MOBILE,Merchant_1699,RETAIL,REF817990168,79473.61,194.62.99.184,e944658b65153447,,False,1.0,0,2026-01-10 21:04:43
2a92d64f-df55-4dc2-8218-c921a40d7b39,PMLA-A001970-SYN,DEPOSIT,805.67,CAD,2024-06-01 09:12:01,ONLINE,COMPLETED,DEPOSIT - ONLINE,,,REF207755186,78791.34,60.22.205.10,68e96cde03e26e23,"52.8366,-93.9919",False,1.0,0,2026-01-10 21:04:43
2c73e009-a326-4f7d-b218-d2bfbc1d346b,PMLA-A000063-SYN,TRANSFER_OUT,9.4,USD,2024-06-01 09:28:23,ONLINE,COMPLETED,TRANSFER_OUT - ONLINE,,,REF694802460,52125.78,211.21.151.107,c7f18e9e78b38b9b,,False,1.0,0,2026-01-10 21:04:43
2c3df162-5129-4b6a-8d2f-56421fc72024,PMLA-A001401-SYN,POS_PURCHASE,176.54,CAD,2024-06-01 09:35:33,MOBILE,COMPLETED,POS_PURCHASE - MOBILE,Merchant_3515,RESTAURANT,REF746546049,48638.46,217.250.161.95,de07e6c95db41264,"49.5519,-112.536",True,1.0,0,2026-01-10 21:04:43
777c3bca-151c-4c58-8068-52a8a56fb230,PMLA-A001344-SYN,WITHDRAWAL,38.08,CAD,2024-06-01 09:51:08,ATM,COMPLETED,WITHDRAWAL - ATM,,,REF447363256,28305.8,,,,False,1.0,0,2026-01-10 21:04:43
3e5b7179-581c-4895-91c4-487b535d5d84,PMLA-A001206-SYN,WITHDRAWAL,695.37,CAD,2024-06-01 10:01:51,ONLINE,COMPLETED,WITHDRAWAL - ONLINE,,,REF767472079,20365.13,151.200.110.232,0ef1c74da13fdc42,"50.0429,-111.0042",False,1.0,0,2026-01-10 21:04:43
0625c877-359a-4315-95d4-9c15871267e7,PMLA-A002093-SYN,DEPOSIT,511.0,CAD,2024-06-01 10:38:38,BRANCH,COMPLETED,DEPOSIT - BRANCH,,,REF798417667,90294.37,,,,False,1.0,0,2026-01-10 21:04:43
